Time_min,C_measured
0.000000,0.000000
5.000000,0.584380
10.000000,0.838790
15.000000,1.000000
20.000000,0.924430
25.000000,0.647360
30.000000,0.355160
35.000000,0.294710
40.000000,0.272040
45.000000,0.244330
50.000000,0.209070
55.000000,0.219140
60.000000,0.191440
65.000000,0.198990
70.000000,0.171280
75.000000,0.204030
80.000000,0.178840
85.000000,0.163730
90.000000,0.168770
95.000000,0.156170
100.000000,0.156170
105.000000,0.151130
