Time_min,Gaussian_component,erfc_component,Blended_model,Blend_weight
6.062476,0.180035,9.533421,0.653596,0.949370
6.117499,0.180035,9.438446,0.655821,0.948610
6.172521,0.180035,9.344677,0.658065,0.947840
6.227544,0.180035,9.252090,0.660325,0.947058
6.282566,0.180035,9.160666,0.662602,0.946266
6.337589,0.180035,9.070386,0.664896,0.945462
6.392611,0.180035,8.981228,0.667207,0.944647
6.447634,0.180035,8.893175,0.669534,0.943821
6.502656,0.180035,8.806208,0.671878,0.942982
6.557679,0.180035,8.720309,0.674238,0.942133
6.612701,0.180035,8.635460,0.676613,0.941271
6.667724,0.180035,8.551643,0.679005,0.940397
6.722746,0.180035,8.468843,0.681413,0.939511
6.777769,0.180034,8.387042,0.683836,0.938613
6.832791,0.180034,8.306224,0.686275,0.937703
6.887814,0.180034,8.226374,0.688729,0.936779
6.942836,0.180034,8.147475,0.691198,0.935843
6.997859,0.180034,8.069514,0.693683,0.934895
7.052881,0.180034,7.992476,0.696182,0.933933
7.107904,0.180034,7.916345,0.698696,0.932957
7.162926,0.180034,7.841108,0.701224,0.931969
7.217949,0.180034,7.766751,0.703767,0.930967
7.272971,0.180034,7.693261,0.706324,0.929951
7.327994,0.180034,7.620624,0.708896,0.928922
7.383017,0.180034,7.548828,0.711481,0.927879
7.438039,0.180034,7.477859,0.714079,0.926821
7.493062,0.180034,7.407706,0.716692,0.925750
7.548084,0.180034,7.338355,0.719317,0.924663
7.603107,0.180034,7.269797,0.721956,0.923563
7.658129,0.180034,7.202017,0.724608,0.922447
7.713152,0.180034,7.135006,0.727272,0.921317
7.768174,0.180034,7.068752,0.729949,0.920172
7.823197,0.180034,7.003244,0.732639,0.919011
7.878219,0.180034,6.938471,0.735341,0.917835
7.933242,0.180034,6.874422,0.738055,0.916643
7.988264,0.180034,6.811088,0.740780,0.915436
8.043287,0.180034,6.748459,0.743517,0.914213
8.098309,0.180034,6.686523,0.746266,0.912974
8.153332,0.180033,6.625272,0.749025,0.911719
8.208354,0.180033,6.564696,0.751796,0.910448
8.263377,0.180033,6.504785,0.754577,0.909160
8.318399,0.180033,6.445531,0.757369,0.907855
8.373422,0.180033,6.386923,0.760170,0.906533
8.428444,0.180033,6.328954,0.762982,0.905195
8.483467,0.180033,6.271615,0.765804,0.903839
8.538489,0.180033,6.214896,0.768635,0.902466
8.593512,0.180033,6.158790,0.771475,0.901076
8.648534,0.180033,6.103289,0.774324,0.899668
8.703557,0.180033,6.048383,0.777182,0.898242
8.758579,0.180033,5.994066,0.780048,0.896799
8.813602,0.180033,5.940330,0.782923,0.895337
8.868624,0.180033,5.887166,0.785805,0.893857
8.923647,0.180033,5.834567,0.788695,0.892359
8.978669,0.180033,5.782526,0.791592,0.890842
9.033692,0.180033,5.731035,0.794496,0.889306
9.088714,0.180033,5.680088,0.797407,0.887751
9.143737,0.180033,5.629676,0.800324,0.886178
9.198759,0.180033,5.579794,0.803247,0.884585
9.253782,0.180033,5.530435,0.806176,0.882973
9.308804,0.180033,5.481591,0.809111,0.881341
9.363827,0.180033,5.433256,0.812050,0.879690
9.418849,0.180033,5.385424,0.814994,0.878019
9.473872,0.180033,5.338089,0.817943,0.876327
9.528894,0.180033,5.291243,0.820895,0.874616
9.583917,0.180033,5.244882,0.823852,0.872885
9.638939,0.180033,5.198998,0.826811,0.871133
9.693962,0.180033,5.153585,0.829774,0.869361
9.748984,0.180033,5.108639,0.832739,0.867568
9.804007,0.180033,5.064153,0.835707,0.865754
9.859030,0.180033,5.020122,0.838676,0.863919
9.914052,0.180033,4.976539,0.841647,0.862063
9.969075,0.180033,4.933400,0.844619,0.860186
10.024097,0.180033,4.890699,0.847591,0.858288
10.079120,0.180032,4.848430,0.850564,0.856368
10.134142,0.180032,4.806589,0.853536,0.854427
10.189165,0.180032,4.765170,0.856508,0.852463
10.244187,0.180032,4.724168,0.859479,0.850478
10.299210,0.180032,4.683578,0.862449,0.848471
10.354232,0.180032,4.643395,0.865416,0.846442
10.409255,0.180032,4.603615,0.868381,0.844391
10.464277,0.180032,4.564232,0.871344,0.842317
10.519300,0.180032,4.525242,0.874303,0.840222
10.574322,0.180032,4.486639,0.877259,0.838103
10.629345,0.180032,4.448421,0.880210,0.835962
10.684367,0.180032,4.410581,0.883157,0.833798
10.739390,0.180032,4.373116,0.886098,0.831612
10.794412,0.180032,4.336021,0.889034,0.829402
10.849435,0.180032,4.299293,0.891964,0.827170
10.904457,0.180032,4.262925,0.894888,0.824914
10.959480,0.180032,4.226915,0.897804,0.822636
11.014502,0.180032,4.191259,0.900713,0.820334
11.069525,0.180032,4.155951,0.903613,0.818009
11.124547,0.180032,4.120989,0.906505,0.815661
11.179570,0.180032,4.086368,0.909388,0.813289
11.234592,0.180032,4.052085,0.912261,0.810894
11.289615,0.180032,4.018135,0.915124,0.808475
11.344637,0.180032,3.984515,0.917976,0.806033
11.399660,0.180032,3.951221,0.920817,0.803567
11.454682,0.180032,3.918249,0.923646,0.801078
11.509705,0.180032,3.885595,0.926463,0.798565
11.564727,0.180032,3.853257,0.929267,0.796028
11.619750,0.180032,3.821230,0.932057,0.793468
11.674772,0.180032,3.789512,0.934833,0.790884
11.729795,0.180032,3.758098,0.937595,0.788276
11.784817,0.180032,3.726985,0.940341,0.785644
11.839840,0.180032,3.696170,0.943072,0.782989
11.894862,0.180032,3.665650,0.945786,0.780310
11.949885,0.180032,3.635421,0.948483,0.777608
12.004907,0.180032,3.605481,0.951163,0.774882
12.059930,0.180032,3.575825,0.953825,0.772132
12.114952,0.180032,3.546451,0.956468,0.769358
12.169975,0.180032,3.517356,0.959092,0.766561
12.224997,0.180032,3.488536,0.961696,0.763741
12.280020,0.180032,3.459990,0.964279,0.760897
12.335043,0.180032,3.431713,0.966842,0.758030
12.390065,0.180032,3.403703,0.969383,0.755139
12.445088,0.180032,3.375956,0.971901,0.752225
12.500110,0.180032,3.348471,0.974397,0.749288
12.555133,0.180032,3.321244,0.976869,0.746328
12.610155,0.180032,3.294273,0.979317,0.743345
12.665178,0.180032,3.267555,0.981741,0.740339
12.720200,0.180032,3.241086,0.984139,0.737310
12.775223,0.180032,3.214865,0.986512,0.734259
12.830245,0.180032,3.188889,0.988857,0.731185
12.885268,0.180032,3.163155,0.991176,0.728089
12.940290,0.180032,3.137660,0.993468,0.724970
12.995313,0.180032,3.112403,0.995731,0.721830
13.050335,0.180032,3.087380,0.997965,0.718667
13.105358,0.180032,3.062589,1.000169,0.715483
13.160380,0.180031,3.038028,1.002344,0.712277
13.215403,0.180031,3.013694,1.004488,0.709049
13.270425,0.180031,2.989585,1.006601,0.705801
13.325448,0.180031,2.965699,1.008682,0.702531
13.380470,0.180031,2.942033,1.010730,0.699240
13.435493,0.180031,2.918584,1.012746,0.695929
13.490515,0.180031,2.895352,1.014728,0.692597
13.545538,0.180031,2.872332,1.016676,0.689246
13.600560,0.180031,2.849524,1.018589,0.685874
13.655583,0.180031,2.826925,1.020467,0.682482
13.710605,0.180031,2.804533,1.022310,0.679071
13.765628,0.180031,2.782345,1.024116,0.675641
13.820650,0.180031,2.760360,1.025885,0.672192
13.875673,0.180031,2.738576,1.027617,0.668724
13.930695,0.180031,2.716990,1.029310,0.665237
13.985718,0.180031,2.695601,1.030966,0.661733
14.040740,0.180031,2.674406,1.032582,0.658211
14.095763,0.180031,2.653404,1.034159,0.654671
14.150785,0.180031,2.632592,1.035696,0.651114
14.205808,0.180031,2.611968,1.037193,0.647540
14.260830,0.180031,2.591532,1.038648,0.643949
14.315853,0.180031,2.571280,1.040062,0.640342
14.370875,0.180031,2.551211,1.041435,0.636719
14.425898,0.180031,2.531324,1.042765,0.633081
14.480920,0.180031,2.511615,1.044052,0.629428
14.535943,0.180031,2.492084,1.045296,0.625759
14.590965,0.180031,2.472729,1.046496,0.622076
14.645988,0.180031,2.453547,1.047653,0.618379
14.701011,0.180031,2.434538,1.048765,0.614668
14.756033,0.180031,2.415700,1.049832,0.610944
14.811056,0.180031,2.397030,1.050854,0.607207
14.866078,0.180031,2.378527,1.051830,0.603457
14.921101,0.180031,2.360190,1.052760,0.599695
14.976123,0.180031,2.342016,1.053644,0.595921
15.031146,0.180031,2.324005,1.054482,0.592136
15.086168,0.180031,2.306154,1.055272,0.588339
15.141191,0.180031,2.288462,1.056015,0.584533
15.196213,0.180031,2.270928,1.056711,0.580716
15.251236,0.180031,2.253550,1.057359,0.576889
15.306258,0.180031,2.236326,1.057959,0.573054
15.361281,0.180031,2.219255,1.058510,0.569209
15.416303,0.180031,2.202335,1.059013,0.565356
15.471326,0.180031,2.185565,1.059467,0.561495
15.526348,0.180031,2.168943,1.059872,0.557627
15.581371,0.180031,2.152469,1.060228,0.553752
15.636393,0.180031,2.136140,1.060535,0.549870
15.691416,0.180031,2.119955,1.060792,0.545982
15.746438,0.180031,2.103912,1.060999,0.542088
15.801461,0.180031,2.088012,1.061156,0.538190
15.856483,0.180031,2.072251,1.061264,0.534286
15.911506,0.180031,2.056628,1.061321,0.530379
15.966528,0.180031,2.041143,1.061329,0.526467
16.021551,0.180031,2.025794,1.061286,0.522553
16.076573,0.180031,2.010580,1.061192,0.518635
16.131596,0.180031,1.995499,1.061049,0.514716
16.186618,0.180031,1.980550,1.060855,0.510794
16.241641,0.180031,1.965732,1.060611,0.506872
16.296663,0.180031,1.951043,1.060316,0.502948
16.351686,0.180031,1.936483,1.059971,0.499024
16.406708,0.180031,1.922050,1.059576,0.495100
16.461731,0.180031,1.907742,1.059130,0.491177
16.516753,0.180031,1.893560,1.058635,0.487255
16.571776,0.180031,1.879501,1.058089,0.483334
16.626798,0.180031,1.865564,1.057493,0.479416
16.681821,0.180031,1.851748,1.056847,0.475500
16.736843,0.180031,1.838052,1.056152,0.471587
16.791866,0.180031,1.824476,1.055407,0.467677
16.846888,0.180031,1.811017,1.054612,0.463771
16.901911,0.180031,1.797674,1.053768,0.459870
16.956933,0.180031,1.784447,1.052875,0.455974
17.011956,0.180031,1.771335,1.051933,0.452083
17.066978,0.180031,1.758336,1.050942,0.448198
17.122001,0.180031,1.745449,1.049903,0.444320
17.177024,0.180031,1.732674,1.048816,0.440448
17.232046,0.180031,1.720009,1.047680,0.436583
17.287069,0.180031,1.707453,1.046497,0.432726
17.342091,0.180031,1.695005,1.045267,0.428877
17.397114,0.180031,1.682664,1.043989,0.425037
17.452136,0.180031,1.670430,1.042665,0.421206
17.507159,0.180031,1.658300,1.041294,0.417384
17.562181,0.180031,1.646275,1.039877,0.413572
17.617204,0.180031,1.634353,1.038415,0.409771
17.672226,0.180031,1.622534,1.036906,0.405980
17.727249,0.180031,1.610815,1.035353,0.402200
17.782271,0.180031,1.599197,1.033755,0.398432
17.837294,0.180031,1.587679,1.032113,0.394676
17.892316,0.180031,1.576259,1.030428,0.390933
17.947339,0.180031,1.564936,1.028698,0.387202
18.002361,0.180031,1.553711,1.026926,0.383484
18.057384,0.180031,1.542581,1.025111,0.379780
18.112406,0.180031,1.531546,1.023255,0.376090
18.167429,0.180031,1.520605,1.021356,0.372414
18.222451,0.180031,1.509757,1.019417,0.368753
18.277474,0.180031,1.499002,1.017436,0.365107
18.332496,0.180031,1.488338,1.015416,0.361476
18.387519,0.180031,1.477765,1.013356,0.357861
18.442541,0.180031,1.467282,1.011257,0.354263
18.497564,0.180031,1.456887,1.009119,0.350680
18.552586,0.180031,1.446581,1.006943,0.347115
18.607609,0.180031,1.436363,1.004730,0.343566
18.662631,0.180031,1.426231,1.002479,0.340035
18.717654,0.180031,1.416184,1.000192,0.336522
18.772676,0.180031,1.406223,0.997869,0.333026
18.827699,0.180031,1.396346,0.995511,0.329549
18.882721,0.180031,1.386553,0.993118,0.326090
18.937744,0.180031,1.376842,0.990690,0.322650
18.992766,0.180031,1.367213,0.988229,0.319230
19.047789,0.180031,1.357666,0.985735,0.315828
19.102811,0.180031,1.348199,0.983209,0.312446
19.157834,0.180031,1.338811,0.980650,0.309085
19.212856,0.180031,1.329503,0.978060,0.305743
19.267879,0.180031,1.320274,0.975440,0.302421
19.322901,0.180031,1.311121,0.972789,0.299120
19.377924,0.180031,1.302046,0.970109,0.295840
19.432946,0.180031,1.293047,0.967400,0.292581
19.487969,0.180031,1.284124,0.964663,0.289343
19.542991,0.180031,1.275275,0.961898,0.286126
19.598014,0.180031,1.266501,0.959105,0.282931
19.653037,0.180031,1.257800,0.956287,0.279757
19.708059,0.180031,1.249173,0.953442,0.276605
19.763082,0.180031,1.240617,0.950573,0.273476
19.818104,0.180031,1.232133,0.947678,0.270368
19.873127,0.180031,1.223720,0.944760,0.267283
19.928149,0.180031,1.215378,0.941818,0.264220
19.983172,0.180031,1.207105,0.938853,0.261180
20.038194,0.180031,1.198901,0.935866,0.258163
20.093217,0.180031,1.190765,0.932858,0.255168
20.148239,0.180031,1.182698,0.929829,0.252196
20.203262,0.180031,1.174697,0.926779,0.249248
20.258284,0.180031,1.166764,0.923709,0.246322
20.313307,0.180030,1.158896,0.920621,0.243420
20.368329,0.180030,1.151094,0.917513,0.240541
20.423352,0.180030,1.143357,0.914388,0.237685
20.478374,0.180030,1.135684,0.911246,0.234853
20.533397,0.180030,1.128075,0.908087,0.232044
20.588419,0.180030,1.120529,0.904911,0.229259
20.643442,0.180030,1.113046,0.901720,0.226497
